//0																													
//Oxygen,  1.005
//Nitrate, 1,1,6.2,0
//pH, 1,-.021, 0.07
//pH, 2,0.037, 0.01
//pH, 13, 0, -0.044
//pH, 27, -0.005, 0
//pH, 28, -0.010, 0
//pH, 29, -0.005, 0.04
//pH, 40, 0, -0.008
//Chl,  0.1697,  -0.0022
//BB, 1, 0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		701.55	0	1.073	0	34.718	0	27.8	0	191.35	0	54.84	0	32.98	0	0.020867	0	0.000102	0	7.8949	0	7.5850	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		651.62	0	1.1143	0	34.7195	0	27.798	0	189.64	0	54.41	0	33.16	0	0.020867	0	0.000102	0	7.8933	0	7.5824	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		601.11	0	1.1364	0	34.7202	0	27.796	0	188.74	0	54.18	0	33.03	0	0.020867	0	0.000101	0	7.8938	0	7.5815	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		550.85	0	1.1758	0	34.7214	0	27.794	0	187.13	0	53.78	0	33.01	0	0.020867	0	0.000104	0	7.8931	0	7.5798	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		498.96	0	1.2078	0	34.7222	0	27.792	0	185.93	0	53.47	0	33.13	0	0.022564	0	0.000102	0	7.8926	0	7.5781	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		451.32	0	1.2439	0	34.723	0	27.79	0	184.42	0	53.09	0	33.16	0	0.01917	0	0.000104	0	7.8921	0	7.5766	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		401.22	0	1.2882	0	34.7234	0	27.786	0	182.71	0	52.66	0	33.27	0	0.020867	0	0.000111	0	7.8909	0	7.5744	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		381.04	0	1.3039	0	34.7237	0	27.785	0	182.11	0	52.50	0	33.25	0	0.022564	0	0.000104	0	7.8905	0	7.5736	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		361.01	0	1.3191	0	34.7239	0	27.784	0	181.40	0	52.32	0	33.37	0	0.020867	0	0.000108	0	7.8881	0	7.5710	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		351.47	0	1.3305	0	34.7236	0	27.783	0	181.00	0	52.22	0	33.30	0	0.022564	0	0.000105	0	7.8888	0	7.5714	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		341.35	0	1.3375	0	34.7241	0	27.783	0	180.90	0	52.20	0	33.38	0	0.020867	0	0.000106	0	7.8888	0	7.5712	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		331.43	0	1.3404	0	34.724	0	27.782	0	180.70	0	52.15	0	33.26	0	0.01917	0	0.000105	0	7.8895	0	7.5716	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		321.31	0	1.3548	0	34.7238	0	27.781	0	180.40	0	52.08	0	33.30	0	0.020867	0	0.000115	0	7.8887	0	7.5707	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		311.11	0	1.3615	0	34.7238	0	27.78	0	180.00	0	51.97	0	33.47	0	0.020867	0	0.000105	0	7.8877	0	7.5695	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		301.43	0	1.3678	0	34.7239	0	27.78	0	179.69	0	51.89	0	33.42	0	0.020867	0	0.000108	0	7.8881	0	7.5697	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		291.57	0	1.3739	0	34.7234	0	27.779	0	179.49	0	51.84	0	33.53	0	0.01917	0	0.000108	0	7.8871	0	7.5684	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		281.55	0	1.3802	0	34.7234	0	27.778	0	179.19	0	51.77	0	33.30	0	0.022564	0	0.000112	0	7.8874	0	7.5685	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		269.61	0	1.3877	0	34.7232	0	27.778	0	178.89	0	51.69	0	33.51	0	0.022564	0	0.000108	0	7.8868	0	7.5676	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		260.56	0	1.3937	0	34.7229	0	27.777	0	178.59	0	51.61	0	33.39	0	0.022564	0	0.000106	0	7.8869	0	7.5675	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		251.07	0	1.3974	0	34.7227	0	27.776	0	178.39	0	51.56	0	33.70	0	0.020867	0	0.000106	0	7.8870	0	7.5673	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		241.54	0	1.404	0	34.7223	0	27.776	0	178.09	0	51.48	0	33.49	0	0.020867	0	0.000106	0	7.8855	0	7.5658	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		231.45	0	1.4154	0	34.7211	0	27.774	0	177.78	0	51.40	0	33.94	0	0.022564	0	0.000106	0	7.8851	0	7.5652	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		221.65	0	1.4232	0	34.72	0	27.772	0	177.18	0	51.24	0	33.66	0	0.020867	0	0.000106	0	7.8841	0	7.5641	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		211.78	0	1.4256	0	34.7192	0	27.771	0	176.88	0	51.16	0	33.77	0	0.022564	0	0.000106	0	7.8833	0	7.5631	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		201.34	0	1.418	0	34.7141	0	27.768	0	176.98	0	51.17	0	33.56	0	0.024261	0	0.000105	0	7.8832	0	7.5625	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		190.93	0	1.4115	0	34.7113	0	27.766	0	177.18	0	51.22	0	33.75	0	0.024261	0	0.000106	0	7.8840	0	7.5629	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		181.5	0	1.3922	0	34.7067	0	27.764	0	177.38	0	51.25	0	33.59	0	0.022564	0	0.000109	0	7.8819	0	7.5604	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		171.34	0	1.3506	0	34.698	0	27.76	0	178.49	0	51.51	0	34.03	0	0.022564	0	0.000111	0	7.8826	0	7.5601	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		159.32	0	1.2305	0	34.6766	0	27.753	0	181.40	0	52.19	0	33.76	0	0.025958	0	0.000111	0	7.8837	0	7.5591	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		151.05	0	1.1444	0	34.6616	0	27.748	0	184.72	0	53.02	0	33.84	0	0.025958	0	0.000111	0	7.8859	0	7.5596	0
