//0																					
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		   801.16	0	  4.7270	0	34.3663	0	27.147	0	6.9	0	2.2	0	39.87	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		   751.72	0	  4.9618	0	34.3371	0	27.095	0	6.8	0	2.1	0	39.58	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		   701.36	0	  5.2012	0	34.3261	0	27.057	0	7.0	0	2.2	0	38.80	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		   651.63	0	  5.4460	0	34.2861	0	26.994	0	8.0	0	2.5	0	38.19	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		   601.01	0	  5.7264	0	34.2801	0	26.954	0	10.1	0	3.2	0	37.23	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		   551.44	0	  5.9153	0	34.2438	0	26.899	0	13.2	0	4.2	0	36.72	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		   500.94	0	  6.2484	0	34.2022	0	26.821	0	21.6	0	7.0	0	35.82	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		   451.47	0	  6.8555	0	34.2235	0	26.756	0	20.5	0	6.7	0	34.29	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		   400.83	0	  7.2999	0	34.2242	0	26.694	0	22.7	0	7.5	0	33.23	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		   381.36	0	  7.4312	0	34.2116	0	26.665	0	25.7	0	8.5	0	32.85	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		   360.96	0	  7.6869	0	34.2257	0	26.639	0	26.8	0	9.0	0	32.29	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		   351.53	0	  7.7176	0	34.2195	0	26.63	0	28.1	0	9.4	0	32.19	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		   341.12	0	  7.7944	0	34.2158	0	26.615	0	29.5	0	9.9	0	32.00	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		   330.31	0	  7.8890	0	34.2132	0	26.599	0	31.2	0	10.5	0	31.76	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		   321.03	0	  7.9611	0	34.2122	0	26.588	0	32.6	0	11.0	0	31.73	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		   311.65	0	  8.0552	0	34.2067	0	26.569	0	33.4	0	11.3	0	31.18	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		   300.96	0	  8.2180	0	34.2022	0	26.541	0	35.6	0	12.1	0	30.70	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		   290.82	0	  8.2766	0	34.2053	0	26.534	0	37.0	0	12.5	0	30.63	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		   280.93	0	  8.3085	0	34.1799	0	26.508	0	38.5	0	13.0	0	30.28	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		   270.91	0	  8.3555	0	34.1705	0	26.493	0	41.9	0	14.2	0	30.17	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		   260.68	0	  8.4363	0	34.1646	0	26.476	0	44.9	0	15.3	0	29.88	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		   250.79	0	  8.5833	0	34.1663	0	26.455	0	46.2	0	15.8	0	29.29	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		   241.16	0	  8.6218	0	34.1560	0	26.44	0	48.2	0	16.5	0	29.13	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		   230.77	0	  8.6521	0	34.1534	0	26.433	0	50.3	0	17.2	0	28.99	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		   221.33	0	  8.7552	0	34.1327	0	26.4	0	53.4	0	18.3	0	28.65	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		   211.34	0	  8.6418	0	34.0770	0	26.371	0	62.1	0	21.2	0	27.93	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		   201.22	0	  8.7255	0	34.0482	0	26.334	0	74.0	0	25.3	0	27.24	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		   191.20	0	  8.9822	0	34.0679	0	26.31	0	77.6	0	26.7	0	27.04	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		   180.87	0	  9.1828	0	34.0254	0	26.243	0	77.0	0	26.6	0	26.82	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		   171.05	0	  9.2299	0	34.0147	0	26.226	0	76.8	0	26.6	0	26.42	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		   161.46	0	  9.2798	0	34.0080	0	26.212	0	77.3	0	26.8	0	26.18	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		   151.67	0	  9.3754	0	33.9823	0	26.175	0	80.9	0	28.1	0	25.87	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		   141.15	0	  9.5393	0	33.9296	0	26.105	0	85.7	0	29.8	0	25.61	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		   129.12	0	  9.7047	0	33.8876	0	26.042	0	92.7	0	32.4	0	24.46	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		   121.45	0	  9.6751	0	33.8706	0	26.033	0	98.0	0	34.2	0	23.78	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		   111.50	0	  9.8796	0	33.8237	0	25.959	0	107.9	0	37.8	0	23.28	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		   100.71	0	  9.8898	0	33.8234	0	25.957	0	110.3	0	38.7	0	23.31	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		    96.16	0	  9.8872	0	33.8197	0	25.955	0	111.2	0	39.0	0	22.99	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		    90.77	0	  9.9131	0	33.8047	0	25.938	0	112.7	0	39.5	0	23.06	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		    86.59	0	  9.9171	0	33.8003	0	25.934	0	114.4	0	40.1	0	22.98	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		    81.45	0	  9.9717	0	33.7717	0	25.9	0	116.7	0	41.0	0	22.18	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		    76.60	0	  9.9964	0	33.7529	0	25.881	0	119.2	0	41.9	0	22.08	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		    70.94	0	 10.0317	0	33.7401	0	25.864	0	124.4	0	43.7	0	21.59	0
